question_id,domain,task_type,expected_document,hit_at_1,recall_at_3,recall_at_5,mrr,citation_page_match,answer_type,should_abstain,abstention_correctness,unsupported_claim_count,manual_answer_correctness,manual_citation_support
Q001,abstention,abstention,,0,0,0,0.0,0,supported,True,0,0,0,1
Q002,abstention,adversarial,,0,0,0,0.0,0,insufficient_evidence,True,1,0,1,
Q003,abstention,adversarial,,0,0,0,0.0,0,supported,True,0,0,0,1
Q004,abstention,abstention,,0,0,0,0.0,0,supported,True,0,0,0,1
Q005,abstention,adversarial,,0,0,0,0.0,0,supported,True,0,0,0,1
Q006,financial_table,table_extraction,dbs-annual-report-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q007,financial_table,table_extraction,dbs-annual-report-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q008,financial_table,table_extraction,ocbc-annual-report-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0.5,1
Q009,financial_table,table_extraction,ocbc-annual-report-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0.5,1
Q010,financial_table,table_extraction,uob-annual-report-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q011,finance_regulatory,retrieval_qa,mas-trm-guidelines-2021.pdf,1,1,1,1.0,1,supported,False,1,0,1,1
Q012,finance_regulatory,retrieval_qa,mas-trm-guidelines-2021.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q013,finance_regulatory,retrieval_qa,mas-trm-guidelines-2021.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q014,finance_regulatory,extraction,mas-notice-sfa04-n02-2025.pdf,0,1,1,0.5,1,supported,False,1,0,1,1
Q015,finance_regulatory,extraction,mas-notice-sfa04-n02-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q016,finance_regulatory,retrieval_qa,guidelines-to-mas-notice-626-2025.pdf,0,1,1,0.5,1,supported,False,1,0,0,1
Q017,finance_regulatory,policy_clause,guidelines-to-mas-notice-626-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0.5,1
Q018,finance_regulatory,adversarial,mas-trm-guidelines-2021.pdf,0,0,1,0.25,1,supported,False,1,0,0,1
Q019,insurance,retrieval_qa,nfip-claims-manual-june-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q020,insurance,policy_clause,sfip-commentary-june-2025.pdf,0,0,0,0.0,0,supported,False,1,0,0,1
Q021,insurance,retrieval_qa,sfip-commentary-june-2025.pdf,0,0,0,0.0,0,supported,False,1,0,1,1
Q022,insurance,adversarial,sfip-commentary-june-2025.pdf,0,1,1,0.5,0,supported,False,1,0,0,1
Q023,insurance,extraction,nfip-claims-manual-june-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q024,insurance,retrieval_qa,nfip-claims-manual-june-2025.pdf,0,1,1,0.5,0,supported,False,1,0,0,1
Q025,kyc,extraction,acra-registrable-controllers-guidance-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q026,kyc,retrieval_qa,acra-registrable-controllers-guidance-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q027,kyc,extraction,acra-registrable-controllers-guidance-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q028,kyc,retrieval_qa,acra-registrable-controllers-guidance-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0.5,1
Q029,kyc,extraction,acra-registrable-controllers-guidance-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0,1
Q030,kyc,retrieval_qa,acra-registrable-controllers-guidance-2025.pdf,1,1,1,1.0,1,supported,False,1,0,0.5,1
